clinic_name,school_name,school_dbn,school_address,school_type,source,confidence
JHS 151 Campus,P.S./M.S. 031 The William Lloyd Garrison,07X031,"250 East 156 Street, Bronx, NY 10451",Elementary/Middle,NYC DOE SBHC 2025-2026,confirmed
JHS 151 Campus,KIPP Academy Charter School,84X704,"250 East 156 Street, Bronx, NY 10451",Charter,NYC DOE SBHC 2025-2026,confirmed
Mott Haven Educational Campus,Careers In Sports High School,07X548,"730 Concourse Village West, Bronx, NY 10451",High School,NYC DOE SBHC 2025-2026,confirmed
Mott Haven Educational Campus,Bronx Leadership Academy II High School,07X527,"730 Concourse Village West, Bronx, NY 10451",High School,NYC DOE SBHC 2025-2026,confirmed
Mott Haven Educational Campus,Bronx Legacy High School,07X625,"730 Concourse Village West, Bronx, NY 10451",High School,NYC DOE SBHC 2025-2026,confirmed
PS 018 John Peter Zenger,P.S. 018 John Peter Zenger,07X018,"502 Morris Avenue, Bronx, NY 10451",Elementary,NYC DOE SBHC 2025-2026,confirmed
South Bronx Educational Campus,University Heights Secondary School,07X495,"701 Saint Anns Avenue, Bronx, NY 10455",High School,NYC DOE SBHC 2025-2026,confirmed
South Bronx Educational Campus,Mott Haven Village Preparatory High School,07X473,"701 Saint Anns Avenue, Bronx, NY 10455",High School,NYC DOE SBHC 2025-2026,confirmed
Adlai E Stevenson Educational Campus,Bronx Compass High School,08X561,"1980 Lafayette Avenue, Bronx, NY 10473",High School,NYC DOE SBHC 2025-2026,confirmed
Adlai E Stevenson Educational Campus,Antonia Pantoja Preparatory Academy: A College Board School,08X376,"1980 Lafayette Avenue, Bronx, NY 10473",High School,NYC DOE SBHC 2025-2026,confirmed
Adlai E Stevenson Educational Campus,Bronx Bridges High School,08X432,"1980 Lafayette Avenue, Bronx, NY 10473",High School,NYC DOE SBHC 2025-2026,confirmed
Adlai E Stevenson Educational Campus,Millennium Art Academy,08X312,"1980 Lafayette Avenue, Bronx, NY 10473",High School,NYC DOE SBHC 2025-2026,confirmed
Adlai E Stevenson Educational Campus,Gotham Collaborative High School,08X452,"1980 Lafayette Avenue, Bronx, NY 10473",High School,NYC DOE SBHC 2025-2026,confirmed
Adlai E Stevenson Educational Campus,Bronx Community High School,08X377,"1980 Lafayette Avenue, Bronx, NY 10473",High School,NYC DOE SBHC 2025-2026,confirmed
Herbert H. Lehman Campus,Herbert H. Lehman High School,08X405,"3000 East Tremont Avenue, Bronx, NY 10461",High School,NYC DOE SBHC 2025-2026,confirmed
Herbert H. Lehman Campus,Bronx River High School,08X349,"3000 East Tremont Avenue, Bronx, NY 10461",High School,NYC DOE SBHC 2025-2026,confirmed
Herbert H. Lehman Campus,Westchester Square Academy,08X558,"3000 East Tremont Avenue, Bronx, NY 10461",High School,NYC DOE SBHC 2025-2026,confirmed
Herbert H. Lehman Campus,Renaissance High School for Musical Theater and The Arts,08X293,"3000 East Tremont Avenue, Bronx, NY 10461",High School,NYC DOE SBHC 2025-2026,confirmed
Herbert H. Lehman Campus,Schuylerville Preparatory High School,08X348,"3000 East Tremont Avenue, Bronx, NY 10461",High School,NYC DOE SBHC 2025-2026,confirmed
Herbert H. Lehman Campus,Pelham Lab High School,08X320,"3000 East Tremont Avenue, Bronx, NY 10461",High School,NYC DOE SBHC 2025-2026,confirmed
IS 174 Campus,Archimedes Academy for Math Science and Technology Applications,08X367,"456 White Plains Road, Bronx, NY 10473",Middle School,NYC DOE SBHC 2025-2026,confirmed
IS 174 Campus,The Bronx Mathematics Preparatory School,08X375,"456 White Plains Road, Bronx, NY 10473",Middle School,NYC DOE SBHC 2025-2026,confirmed
IS 174 Campus,Women's Academy of Excellence,08X282,"456 White Plains Road, Bronx, NY 10473",High School,NYC DOE SBHC 2025-2026,confirmed
CES 55 Campus,P.S. 055 Benjamin Franklin,09X055,"450 Saint Pauls Place, Bronx, NY 10456",Elementary,NYC DOE SBHC 2025-2026,confirmed
CES 55 Campus,Success Academy Charter School - Bronx 2,84X494,"450 Saint Pauls Place, Bronx, NY 10456",Charter,NYC DOE SBHC 2025-2026,confirmed
Morris Educational Campus,Bronx International High School,09X403,"1110 Boston Road, Bronx, NY 10456",High School,NYC DOE SBHC 2025-2026,confirmed
Morris Educational Campus,Morris Academy for Collaborative Studies,09X297,"1110 Boston Road, Bronx, NY 10456",High School,NYC DOE SBHC 2025-2026,confirmed
Morris Educational Campus,High School for Violin and Dance,09X543,"1110 Boston Road, Bronx, NY 10456",High School,NYC DOE SBHC 2025-2026,confirmed
New Settlement Campus,Comprehensive Model School Project M.S. 327,09X327,"1501 Jerome Avenue, Bronx, NY 10452",Middle School,NYC DOE SBHC 2025-2026,confirmed
New Settlement Campus,Mount Eden Children's Academy,09X555,"1501 Jerome Avenue, Bronx, NY 10452",Elementary,NYC DOE SBHC 2025-2026,confirmed
PS 028 Mount Hope,P.S. 028 Mount Hope,09X028,"1861 Anthony Avenue, Bronx, NY 10457",Elementary,NYC DOE SBHC 2025-2026,confirmed
PS 147 Campus,I.S. 339,09X339,"1600 Webster Avenue, Bronx, NY 10457",Middle School,NYC DOE SBHC 2025-2026,confirmed
PS 147 Campus,I.S. 313 School of Leadership Development,09X313,"1600 Webster Avenue, Bronx, NY 10457",Middle School,NYC DOE SBHC 2025-2026,confirmed
PS 199 The Shakespeare School,P.S. 199X - The Shakespeare School,09X199,"1449 Shakespeare Avenue, Bronx, NY 10452",Elementary,NYC DOE SBHC 2025-2026,confirmed
Roland Patterson,The New American Academy at Roberto Clemente State Park,09X274,"275 Harlem River Park Bridge, Bronx, NY 10453",Elementary/Middle,NYC DOE SBHC 2025-2026,confirmed
Roland Patterson,I.S. 229 Roland Patterson,09X229,"275 Harlem River Park Bridge, Bronx, NY 10453",Middle School,NYC DOE SBHC 2025-2026,confirmed
Teller Avenue Campus,Success Academy Charter School - Bronx 3,84X380,"1000 Teller Avenue, Bronx, NY 10456",Charter,NYC DOE SBHC 2025-2026,confirmed
Teller Avenue Campus,New Pathways Academy,09X594,"1000 Teller Avenue, Bronx, NY 10456",High School,NYC DOE SBHC 2025-2026,confirmed
Teller Avenue Campus,South Bronx International Middle School,09X593,"1000 Teller Avenue, Bronx, NY 10456",Middle School,NYC DOE SBHC 2025-2026,confirmed
Teller Avenue Campus,New Millennium Bronx Academy of The Arts,09X328,"1000 Teller Avenue, Bronx, NY 10456",Middle School,NYC DOE SBHC 2025-2026,confirmed
William Howard Taft Campus,Claremont International H,09X564,"240 East 172 Street, Bronx, NY 10457",High School,NYC DOE SBHC 2025-2026,confirmed
William Howard Taft Campus,Bronx Collegiate Academy,09X227,"240 East 172 Street, Bronx, NY 10457",High School,NYC DOE SBHC 2025-2026,confirmed
William Howard Taft Campus,Bronx High School for Medical Science,09X413,"240 East 172 Street, Bronx, NY 10457",High School,NYC DOE SBHC 2025-2026,confirmed
William Howard Taft Campus,Dreamyard Preparatory School,09X329,"240 East 172 Street, Bronx, NY 10457",High School,NYC DOE SBHC 2025-2026,confirmed
William Howard Taft Campus,Bronx High School of Business,09X412,"240 East 172 Street, Bronx, NY 10457",High School,NYC DOE SBHC 2025-2026,confirmed
William Howard Taft Campus,New Directions Secondary School,09X350,"240 East 172 Street, Bronx, NY 10457",High School,NYC DOE SBHC 2025-2026,confirmed
