dbn,school_name,address,lat,lon,district,school_type,grades,has_mshp,chronic_absenteeism_rate,enrollment,uhf_code,uhf_name,asthma_ed_rate,asthma_hosp_rate,svi_socioeconomic,svi_household_disability,svi_minority_language,svi_housing_transport,svi_overall,pct_poverty,pct_ell,pct_swd,pct_black,pct_hispanic,pct_white,pct_asian,childhood_obesity_pct,youth_mental_health_ed_rate,lead_elevated_pct,teen_pregnancy_rate,preventable_hosp_rate,food_insecurity_pct,expansion_cohort,estimated_start_year,years_with_mshp,health_burden_composite
75M401,Hospital Schools,3450 EAST TREMONT AVENUE,40.831829,-73.827642,8,Other,"01,02,03,04,05,06,07,08,09,10,11,12,SE",False,,,104,Pelham - Throgs Neck,98.3,294.5,0.62,0.55,0.7,0.48,0.5874999999999999,0.6879340415810309,0.1539670207905154,0.17238021247430926,0.25,0.45,0.18,0.08,24.1,102.1,1.5,22.1,158.2,20.1,,,,53.723258754918824
75M501,Home Instruction,3450 EAST TREMONT AVENUE,40.831829,-73.827642,8,Other,"01,02,03,04,05,06,07,08,09,10,11,12",False,,,104,Pelham - Throgs Neck,98.3,294.5,0.62,0.55,0.7,0.48,0.5874999999999999,0.6318108032623171,0.1259054016311585,0.15554324097869512,0.25,0.45,0.18,0.08,24.1,102.1,1.5,22.1,158.2,20.1,,,,53.723258754918824
07X001,P.S. 001 Courtlandt School,335 EAST 152 STREET,40.819331,-73.919634,7,Elementary,"PK,0K,01,02,03,04,05",False,37.3601799,447.0,106,High Bridge - Morrisania,178.0,383.2,0.92,0.85,0.88,0.86,0.8775,0.96,0.188,0.221,0.233,0.736,0.023,0.002,32.8,158.3,3.8,42.3,245.2,35.8,,,,91.77022147534737
10X003,P.S. 3 Raul Julia Micro Society,2100 LAFONTAINE AVENUE,40.850131,-73.89163,10,Elementary,"PK,0K,01,02,03,04,05,06,07,08",False,44.30769348,325.0,105,Crotona - Tremont,171.9,389.7,0.88,0.81,0.9,0.82,0.8524999999999999,0.94,0.155,0.272,0.288,0.699,0.006,0.003,31.2,142.6,3.2,38.5,218.4,32.4,,,,84.5066113474254
09X004,P.S./M.S. 004 Crotona Park West,1701 FULTON AVENUE,40.841758,-73.897943,9,Middle School,"0K,01,02,03,04,05,06,07,08",False,45.81673431,251.0,105,Crotona - Tremont,171.9,389.7,0.88,0.81,0.9,0.82,0.8524999999999999,0.932,0.13,0.278,0.481,0.491,0.012,0.003,31.2,142.6,3.2,38.5,218.4,32.4,,,,84.5066113474254
07X005,P.S. 5 Port Morris,564 JACKSON AVENUE,40.813896,-73.908358,7,Elementary,"PK,0K,01,02,03,04,05,06,07,08",False,23.98884201,717.0,107,Hunts Point - Mott Haven,192.3,347.2,0.95,0.88,0.92,0.9,0.9125,0.96,0.19,0.27,0.265,0.697,0.026,0.004,34.5,168.4,4.5,48.2,268.5,38.2,,,,100.0
12X006,P.S. 006 West Farms,1000 EAST TREMONT AVENUE,40.840445,-73.882531,12,Elementary,"PK,0K,01,02,03,04,05",False,53.34685516,493.0,105,Crotona - Tremont,171.9,389.7,0.88,0.81,0.9,0.82,0.8524999999999999,0.96,0.133,0.206,0.216,0.771,0.004,0.002,31.2,142.6,3.2,38.5,218.4,32.4,,,,84.5066113474254
10X007,Milton Fein School,3201 KINGSBRIDGE AVENUE,40.881562,-73.905697,10,Other,"0K,01,02,03,04,05",False,22.25063896,391.0,101,Kingsbridge - Riverdale,44.8,213.9,0.45,0.52,0.68,0.4,0.5125,0.787,0.168,0.142,0.085,0.74,0.09,0.061,18.5,85.2,0.8,12.3,125.4,12.5,,,,35.158420691568104
10X008,P.S. 008 Isaac Varian,3010 BRIGGS AVENUE,40.872259,-73.883339,10,Elementary,"0K,01,02,03,04,05",True,37.57225418,692.0,103,Fordham - Bronx Park,132.4,344.5,0.78,0.72,0.82,0.7,0.7549999999999999,0.899,0.231,0.205,0.074,0.774,0.058,0.08,28.4,115.3,2.1,28.4,185.6,24.5,cohort_3_2015_2020,2017.0,8.0,66.67577206983725
10X009,P.S. 9 Ryer Avenue Elementary School,230 EAST 183 STREET,40.85644,-73.898821,10,Elementary,"PK,0K,01,02,03,04,05",False,38.24091721,523.0,105,Crotona - Tremont,171.9,389.7,0.88,0.81,0.9,0.82,0.8524999999999999,0.9390000000000001,0.306,0.224,0.136,0.823,0.012,0.018,31.2,142.6,3.2,38.5,218.4,32.4,,,,84.5066113474254
75X010,P.S. X010,2750 LAFAYETTE AVENUE,40.82708,-73.829211,8,Elementary,"PK,0K,01,02,SE",False,,,104,Pelham - Throgs Neck,98.3,294.5,0.62,0.55,0.7,0.48,0.5874999999999999,0.6950804801745439,0.15754024008727194,0.1745241440523632,0.25,0.45,0.18,0.08,24.1,102.1,1.5,22.1,158.2,20.1,,,,53.723258754918824
09X011,P.S. 011 Highbridge,1257 OGDEN AVENUE,40.839693,-73.92589,9,Elementary,"0K,01,02,03,04",False,37.89954376,438.0,106,High Bridge - Morrisania,178.0,383.2,0.92,0.85,0.88,0.86,0.8775,0.948,0.209,0.202,0.26,0.715,0.013,0.007,32.8,158.3,3.8,42.3,245.2,35.8,,,,91.77022147534737
75X012,P.S. X012 Lewis and Clark School,2555 TRATMAN AVENUE,40.840625,-73.844685,11,Elementary,"03,04,05,06,07,08,09,10,11,12,SE",False,,,104,Pelham - Throgs Neck,98.3,294.5,0.62,0.55,0.7,0.48,0.5874999999999999,0.660330982481798,0.14016549124089894,0.16409929474453938,0.25,0.45,0.18,0.08,24.1,102.1,1.5,22.1,158.2,20.1,,,,53.723258754918824
08X014,P.S. X014 Senator John Calandra,3047 BRUCKNER BOULEVARD,40.835318,-73.826277,8,Elementary,"0K,01,02,03,04,05",False,40.05235672,764.0,104,Pelham - Throgs Neck,98.3,294.5,0.62,0.55,0.7,0.48,0.5874999999999999,0.69,0.141,0.189,0.054,0.649,0.192,0.087,24.1,102.1,1.5,22.1,158.2,20.1,,,,53.723258754918824
10X015,P.S. X015 Institute for Environmental Learning,2195 ANDREWS AVENUE,40.859243,-73.909763,10,Elementary,"0K,01,02,03,04,05,06,07,08",False,32.32323074,396.0,105,Crotona - Tremont,171.9,389.7,0.88,0.81,0.9,0.82,0.8524999999999999,0.7959999999999999,0.226,0.256,0.098,0.865,0.005,0.01,31.2,142.6,3.2,38.5,218.4,32.4,,,,84.5066113474254
11X016,P.S. 016 Wakefield,4550 CARPENTER AVENUE,40.902311,-73.854231,11,Elementary,"PK,0K,01,02,03,04,05",False,42.30769348,390.0,102,Northeast Bronx,104.6,306.0,0.65,0.58,0.75,0.55,0.6325000000000001,0.914,0.126,0.18,0.371,0.471,0.029,0.054,22.3,98.4,1.2,18.5,142.3,18.2,,,,50.81511316086077
75X017,P.S. X017,778 FOREST AVENUE,40.818703,-73.905389,7,Elementary,"01,02,03,04,05,06,07,08,09,SE",False,,,106,High Bridge - Morrisania,178.0,383.2,0.92,0.85,0.88,0.86,0.8775,0.8972404697413863,0.25362023487069313,0.21217214092241587,0.32,0.62,0.02,0.02,32.8,158.3,3.8,42.3,245.2,35.8,,,,91.77022147534737
07X018,P.S. 018 John Peter Zenger,502 MORRIS AVENUE,40.816369,-73.922697,7,Elementary,"PK,0K,01,02,03,04,05",True,35.714286799999996,322.0,106,High Bridge - Morrisania,178.0,383.2,0.92,0.85,0.88,0.86,0.8775,0.96,0.282,0.24,0.268,0.655,0.058,0.003,32.8,158.3,3.8,42.3,245.2,35.8,cohort_2_2010_2015,2012.0,12.0,91.77022147534737
11X019,P.S. 019 Judith K. Weiss,4318 KATONAH AVENUE,40.899351,-73.866949,11,Elementary,"0K,01,02,03,04,05,06,07,08",False,17.09401703,702.0,102,Northeast Bronx,104.6,306.0,0.65,0.58,0.75,0.55,0.6325000000000001,0.535,0.077,0.151,0.079,0.319,0.525,0.032,22.3,98.4,1.2,18.5,142.3,18.2,,,,50.81511316086077
10X020,"PS/MS 20 P.O.George J. Werdann, III",3050 WEBSTER AVENUE,40.869482,-73.878731,10,Other,"PK,0K,01,02,03,04,05,06,07,08",False,43.80069351,863.0,103,Fordham - Bronx Park,132.4,344.5,0.78,0.72,0.82,0.7,0.7549999999999999,0.948,0.256,0.242,0.117,0.739,0.049,0.074,28.4,115.3,2.1,28.4,185.6,24.5,,,,66.67577206983725
