unique_id,indicator_id,name,measure,measure_info,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value
518940,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,105,Crotona -Tremont,2012-2014,2012-01-02,118.077027
628507,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,305,Upper East Side,2015-2017,2015-01-01,6.6
518976,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,503,Willowbrook,2012-2014,2012-01-02,15.90319849
628525,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,503,Willowbrook,2015-2017,2015-01-01,12.9
131403,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,503,Willowbrook,2009-2011,2009-01-01,16
131251,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,405,Ridgewood - Forest Hills,2005-2007,2005-01-01,19.1
518966,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,403,Flushing - Clearview,2012-2014,2012-01-02,9.559987004
628515,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,403,Flushing - Clearview,2015-2017,2015-01-01,7.9
628524,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,502,Stapleton - St. George,2015-2017,2015-01-01,32
518965,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,402,West Queens,2012-2014,2012-01-02,13.56326935
628514,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,402,West Queens,2015-2017,2015-01-01,14.7
518975,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,502,Stapleton - St. George,2012-2014,2012-01-02,39.58801033
827388,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,502,Stapleton - St. George,2017-2019,2017-01-01,30
628486,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,102,Northeast Bronx,2015-2017,2015-01-01,48.4
827394,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,406,Fresh Meadows,2017-2019,2017-01-01,10
827408,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,302,Central Harlem - Morningside Heights,2017-2019,2017-01-01,75
518969,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,406,Fresh Meadows,2012-2014,2012-01-02,16.72384887
628518,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,406,Fresh Meadows,2015-2017,2015-01-01,12.7
628508,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,306,Chelsea - Clinton,2015-2017,2015-01-01,20.4
518942,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,107,Hunts Point - Mott Haven,2012-2014,2012-01-02,130.5921768
131397,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,407,Southwest Queens,2009-2011,2009-01-01,29.8
518951,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,209,Bensonhurst - Bay Ridge,2012-2014,2012-01-02,10.40504288
628501,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,210,Coney Island - Sheepshead Bay,2015-2017,2015-01-01,18.2
827422,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,106,High Bridge - Morrisania,2017-2019,2017-01-01,78
628521,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,409,Southeast Queens,2015-2017,2015-01-01,17.9
827456,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,302,Central Harlem - Morningside Heights,2017-2019,2017-01-01,138
827442,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,406,Fresh Meadows,2017-2019,2017-01-01,34
131430,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,302,Central Harlem - Morningside Heights,2009-2011,2009-01-01,291.1
131253,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,407,Southwest Queens,2005-2007,2005-01-01,30.6
518971,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,408,Jamaica,2012-2014,2012-01-02,39.60036788
