uhf_code,uhf_name,rate_per_10000,age_group,year,source
101,Kingsbridge - Riverdale,44.8,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
102,Northeast Bronx,104.6,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
103,Fordham - Bronx Park,132.4,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
104,Pelham - Throgs Neck,98.3,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
105,Crotona - Tremont,171.9,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
106,High Bridge - Morrisania,178.0,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
107,Hunts Point - Mott Haven,192.3,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
201,Greenpoint,34.3,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
202,Downtown - Heights - Slope,42.8,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
203,Bedford Stuyvesant - Crown Heights,114.4,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
204,East New York,121.3,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
205,Sunset Park,35.6,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
206,Borough Park,20.0,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
207,East Flatbush - Flatbush,86.3,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
208,Canarsie - Flatlands,66.0,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
209,Bensonhurst - Bay Ridge,16.8,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
210,Coney Island - Sheepshead Bay,30.9,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
211,Williamsburg - Bushwick,91.0,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
301,Washington Heights - Inwood,52.0,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
302,Central Harlem - Morningside Heights,157.7,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
303,East Harlem,173.2,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
304,Upper West Side,25.2,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
305,Upper East Side,13.8,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
306,Chelsea - Clinton,31.3,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
307,Gramercy Park - Murray Hill,18.4,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
308,Greenwich Village - SoHo,8.0,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
309,Union Square - Lower East Side,43.7,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
310,Lower Manhattan,20.2,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
401,Long Island City - Astoria,38.0,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
402,West Queens,29.7,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
403,Flushing - Clearview,17.0,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
404,Bayside - Little Neck,18.5,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
405,Ridgewood - Forest Hills,24.6,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
406,Fresh Meadows,22.8,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
407,Southwest Queens,39.5,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
408,Jamaica,53.7,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
409,Southeast Queens,37.1,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
410,Rockaways,85.1,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
501,Port Richmond,82.3,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
502,Stapleton - St. George,64.7,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
503,Willowbrook,23.8,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
504,South Beach - Tottenville,18.7,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
