uhf_code,uhf_name,rate_per_10000,age_group,year,source
101,Kingsbridge - Riverdale,213.9,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
102,Northeast Bronx,306.0,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
103,Fordham - Bronx Park,344.5,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
104,Pelham - Throgs Neck,294.5,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
105,Crotona - Tremont,389.7,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
106,High Bridge - Morrisania,383.2,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
107,Hunts Point - Mott Haven,347.2,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
201,Greenpoint,83.8,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
202,Downtown - Heights - Slope,104.5,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
203,Bedford Stuyvesant - Crown Heights,256.7,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
204,East New York,274.6,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
205,Sunset Park,109.6,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
206,Borough Park,51.2,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
207,East Flatbush - Flatbush,223.2,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
208,Canarsie - Flatlands,228.1,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
209,Bensonhurst - Bay Ridge,97.5,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
210,Coney Island - Sheepshead Bay,101.8,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
211,Williamsburg - Bushwick,176.4,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
301,Washington Heights - Inwood,312.5,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
302,Central Harlem - Morningside Heights,315.4,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
303,East Harlem,466.0,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
304,Upper West Side,100.3,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
305,Upper East Side,77.1,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
306,Chelsea - Clinton,157.8,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
307,Gramercy Park - Murray Hill,104.9,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
308,Greenwich Village - SoHo,94.4,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
309,Union Square - Lower East Side,213.8,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
310,Lower Manhattan,90.7,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
401,Long Island City - Astoria,120.7,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
402,West Queens,152.5,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
403,Flushing - Clearview,141.3,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
404,Bayside - Little Neck,97.3,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
405,Ridgewood - Forest Hills,124.8,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
406,Fresh Meadows,105.8,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
407,Southwest Queens,174.4,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
408,Jamaica,239.8,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
409,Southeast Queens,206.4,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
410,Rockaways,164.4,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
501,Port Richmond,128.1,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
502,Stapleton - St. George,164.9,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
503,Willowbrook,51.2,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
504,South Beach - Tottenville,46.9,Children 5-17,2022,NYC DOHMH Environment & Health Data Portal
