dbn,school_name,year,enrollment,chronic_absenteeism_rate
07X001,P.S. 001 Courtlandt School,2024-25,447,37.3601799
07X005,P.S. 5 Port Morris,2024-25,717,23.98884201
07X018,P.S. 018 John Peter Zenger,2024-25,322,35.714286799999996
07X025,P.S. 025 Bilingual School,2024-25,434,25.11520767
07X029,P.S./M.S. 029 Melrose School,2024-25,684,33.04093552
07X030,P.S. 030 Wilton,2024-25,389,38.30334091
07X031,P.S./M.S. 031 The William Lloyd Garrison,2024-25,615,29.10569191
07X043,P.S. 043 Jonas Bronck,2024-25,394,26.90355301
07X049,P.S. 049 Willis Avenue,2024-25,531,34.46327591
07X065,P.S. 065 Mother Hale Academy,2024-25,246,32.92683029
07X154,P.S. 154 Jonathan D. Hyatt,2024-25,240,25
07X157,P.S. 157 Grove Hill,2024-25,414,35.26570129
07X161,P.S. 161 Juan Ponce De Leon School,2024-25,332,41.86746979
07X179,P.S. 179,2024-25,230,37.82608795
07X221,South Bronx Preparatory: A College Board School,2024-25,630,26.50793648
07X223,The Laboratory School of Finance and Technology: X,2024-25,657,27.85388184
07X224,P.S./I.S. 224,2024-25,185,34.05405426
07X259,"H.E.R.O. High (Health, Education, and Research Occ",2024-25,750,54
07X277,P.S. 277,2024-25,388,37.62886429
07X296,South Bronx Academy for Applied Media,2024-25,183,41.530056
07X298,Academy of Public Relations,2024-25,147,31.29251671
07X334,International Community High School,2024-25,414,44.92753601
07X343,Academy of Applied Mathematics and Technology,2024-25,285,24.56140327
07X359,"Leaders of Excellence, Advocacy and Discovery",2024-25,218,7.339449406
07X369,Young Leaders Elementary School,2024-25,238,36.13445282
07X427,Community School for Social Justice,2024-25,209,59.80861282
07X473,Mott Haven Village Preparatory High School,2024-25,216,47.22222137
07X495,University Heights Secondary School,2024-25,608,26.97368431
07X500,Hostos-Lincoln Academy of Science,2024-25,468,52.56410217
07X522,Bronx Design and Construction Academy,2024-25,240,39.16666794
07X527,Bronx Leadership Academy II High School,2024-25,393,51.90839767
07X533,Learning Through Play Pre-K Center,2024-25,339,53.9822998
07X548,Careers in Sports High School,2024-25,470,47.6595726
07X551,The Urban Assembly Bronx Academy of Letters,2024-25,436,63.76146698
07X584,I.S. 584,2024-25,207,36.71497726
07X600,Alfred E. Smith Career and Technical Education Hig,2024-25,418,56.45933151
07X625,Bronx Legacy High School,2024-25,314,64.01274109
07X642,South Bronx Literacy Academy,2024-25,99,33.33333206
07X670,Health Opportunities High School,2024-25,253,45.45454407
08X014,P.S. X014 Senator John Calandra,2024-25,764,40.05235672
08X036,P.S. 036 Unionport,2024-25,730,40.95890427
08X048,P.S. 048 Joseph R. Drake,2024-25,505,51.6831665
08X062,P.S. 062 Inocensio Casanova,2024-25,486,41.97530746
08X069,P.S. 069 Journey Prep School,2024-25,508,38.97637939
08X071,P.S. 071 Rose E. Scala,2024-25,1139,34.85513687
08X072,P.S. 072 Dr. William Dorney,2024-25,647,47.14064789
08X075,P.S. 75 School of Research and Discovery,2024-25,547,39.12248611
08X093,P.S. 093 Albert G. Oliver,2024-25,404,48.51485062
08X100,P.S. 100 Isaac Clason,2024-25,472,43.4322052
08X101,M.S. X101 Edward R. Byrne,2024-25,588,24.14966011
08X107,P.S. 107,2024-25,451,46.78492355
08X119,The Dr. Emmett W. Bassett School,2024-25,565,37.34513092
08X123,J.H.S. 123 James M. Kieran,2024-25,511,41.09589005
08X130,P.S. 130 Abram Stevens Hewitt,2024-25,332,43.37349319
08X131,J.H.S. 131 Albert Einstein,2024-25,343,44.02332306
08X138,P.S. 138 Samuel Randall,2024-25,556,53.05755234
08X140,P.S. X140 The Eagle School,2024-25,390,53.84615326
08X146,P.S. 146 Edward Collins,2024-25,321,40.80996704
08X152,P.S. 152 Evergreen,2024-25,727,43.46630096
08X182,P.S. 182,2024-25,440,46.81818008
08X269,Bronx Studio School for Writers and Artists,2024-25,615,48.94308853
08X282,Women's Academy of Excellence,2024-25,202,43.06930542
08X293,Renaissance High School for Musical Theater and th,2024-25,405,45.92592621
08X301,M.S. 301 Paul L. Dunbar,2024-25,173,43.93063736
08X302,M.S. 302 Luisa Dessus Cruz,2024-25,353,32.57790375
08X304,P.S. 304 Early Childhood School,2024-25,586,39.07849884
08X312,Millennium Art Academy,2024-25,356,43.25842667
08X320,Pelham Lab High School,2024-25,335,62.98507309
08X333,The Longwood Academy of Discovery,2024-25,496,49.39516068
08X337,The School for Inquiry and Social Justice,2024-25,404,35.64356613
08X348,Schuylerville Preparatory High School,2024-25,352,57.67045593
08X349,Bronx River High School,2024-25,430,39.53488541
08X367,"Archimedes Academy for Math, Science and Technolog",2024-25,499,54.10821533
08X371,Urban Institute of Mathematics,2024-25,402,31.59203911
08X375,The Bronx Mathematics Preparatory School,2024-25,216,47.68518448
08X376,Antonia Pantoja Preparatory Academy: A College Boa,2024-25,429,56.87645721
08X392,Bronx Delta School,2024-25,430,38.83720779
08X405,Herbert H. Lehman High School,2024-25,1128,35.7269516
08X424,Bronx Academy for Multi-Media,2024-25,182,36.81318665
08X432,Bronx Bridges High School,2024-25,401,45.88528824
08X448,Soundview Academy for Culture and Scholarship,2024-25,255,56.47058868
08X452,Gotham Collaborative High School,2024-25,336,40.47618866
08X467,Mott Hall Community School,2024-25,284,49.29577637
08X530,Longwood Preparatory Academy,2024-25,381,52.49343872
08X558,Westchester Square Academy,2024-25,427,55.26932144
08X561,Bronx Compass High School,2024-25,435,42.29885101
08X562,Pugsley Preparatory Academy,2024-25,597,41.70854187
08X583,P.S. 583,2024-25,460,33.47826004
08X636,Virtual Innovators Academy,2024-25,263,34.22053146
09X004,P.S./M.S. 004 Crotona Park West,2024-25,251,45.81673431
09X011,P.S. 011 Highbridge,2024-25,438,37.89954376
09X022,J.H.S. 022 Jordan L. Mott,2024-25,303,41.9141922
09X028,P.S. 028 Mount Hope,2024-25,619,40.06462097
09X035,P.S. 035 Franz Siegel,2024-25,402,38.55721283
09X042,P.S. 042 Claremont,2024-25,397,51.38539124
09X053,P.S. 053 Basheer Quisim,2024-25,691,40.086830140000004
09X055,P.S. 055 Benjamin Franklin,2024-25,554,45.30685806
09X058,P.S. 058,2024-25,319,43.57366943
09X063,P.S. 063 Author's Academy,2024-25,406,40.14778137
09X070,P.S. 070 Max Schoenfeld,2024-25,822,40.14598465
09X073,P.S. 073 Bronx,2024-25,318,53.45911789
09X088,P.S. X088 - S. Silverstein Little Sparrow School,2024-25,104,29.80769157
09X109,P.S. 109 Sedgwick,2024-25,455,50.32966995
09X110,P.S. 110 Theodore Schoenfeld,2024-25,332,47.59036255
09X114,P.S. X114 - Luis Llorens Torres Schools,2024-25,540,41.11111069
