fiscal_year,system_code,location_code,location_name,beds,managed_by_name,location_type_description,location_category_description,grades_text,grades_final_text,open_date,status_descriptions,primary_building_code,primary_address_line_1,state_code,x_coordinate,y_coordinate,longitude,latitude,community_district,council_district,census_tract,borough_block_lot,nta,nta_name,principal_name,principal_title,principal_phone_number,fax_number,geographical_district_code,administrative_district_code,administrative_district_name,community_school_sup_name,tier_3_support_location_name,tier_3_support_leader_name,tier_2_support_location_name,highschool_network_location,highschool_network_name,highschool_network,community_district_1,police_precinct
2020,11X135,X135,J.H.S. 135 Frank D. Whalen,321100010135,DOE,General Academic,Junior High-Intermediate-Middle,NULL,"06,07,08",1955-07-01T00:00:00.000,Closed,X135,2441 WALLACE AVENUE,NY,1021709,253396,-73.8646,40.8621,211,13,33000,2044320001,BX07,Bronxdale,ANGELA GREEN,Principal,718-653-1237,718-231-2957,11,11,COMMUNITY SCHOOL DISTRICT 11,Elizabeth White,NULL,NULL,NULL,NULL,NULL,NULL,211,49
2020,75M401,M401,Hospital Schools,307500011401,DOE,Special Education,K-12 all grades,"PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE","01,02,03,04,05,06,07,08,09,10,11,12,SE",1999-07-01T00:00:00.000,Open,X953,3450 EAST TREMONT AVENUE,NY,1031947,242382,-73.827642,40.831829,210,13,16600,2055310021,BX52,Schuylerville-Throgs Neck-Edgewater Park,MARY MAHER,Principal,718-794-7260,718-794-7263,8,75,CITYWIDE SPECIAL EDUCATION,"LOUISSAINT, KETLER",D75 CITYWIDE BCO,Tillman Roberto,Children First Network 754,NULL,NULL,NULL,210,45
2020,75M501,M501,Home Instruction,307500010000,DOE,Home School,K-12 all grades,"01,02,03,04,05,06,07,08,09,10,11,12,SE","01,02,03,04,05,06,07,08,09,10,11,12",2000-07-01T00:00:00.000,Open,X953,3450 EAST TREMONT AVENUE,NY,1031947,242382,-73.827642,40.831829,210,13,16600,2055310021,BX52,Schuylerville-Throgs Neck-Edgewater Park,Ramona Pizarro,Principal,646-486-3557,646-486-3556,8,75,CITYWIDE SPECIAL EDUCATION,"LOUISSAINT, KETLER",D75 CITYWIDE BCO,Tillman Roberto,Children First Network 754,NULL,NULL,NULL,210,45
2020,09X002,X002,P.S. 002 Morrisania,320900010002,DOE,General Academic,Elementary,"05,SE","0K,01,02,03,04,05",1990-12-06T00:00:00.000,Closed,X063,1260 FRANKLIN AVENUE,NY,1011409,242023,-73.901859,40.83093,203,16,14900,2026150014,BX35,Morrisania-Melrose,LISA DEBONIS,PRINCIPAL,718-620-0724,718-620-1292,9,9,COMMUNITY SCHOOL DISTRICT 09,"ESPOSITO, DOLORES",NULL,NULL,NULL,NULL,NULL,NULL,203,42
2020,07X001,X001,P.S. 001 Courtlandt School,320700010001,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1961-07-01T00:00:00.000,Open,X001,335 EAST 152 STREET,NY,1006494,237792,-73.919634,40.819331,201,17,6700,2024110119,BX34,Melrose South-Mott Haven North,JORGE PERDOMO,Principal,718-299-3700,718-292-2227,7,7,COMMUNITY SCHOOL DISTRICT 07,"ALVAREZ, RAFAEL",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 6- Bronx,NULL,NULL,NULL,201,40
2020,10X003,X003,P.S. 3 Raul Julia Micro Society,321000010003,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",1995-07-01T00:00:00.000,Open,X003,2100 LAFONTAINE AVENUE,NY,1014231,249022,-73.89163,40.850131,206,15,37504,2030620043,BX17,East Tremont,DENISE BROWN,Principal,718-584-1899,718-584-3590,10,10,COMMUNITY SCHOOL DISTRICT 10,"HULLA, MARIBEL",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 4- Bronx,NULL,NULL,NULL,206,48
2020,09X004,X004,P.S./M.S. 004 Crotona Park West,320900010004,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08",1897-07-01 00:00:00.000,Open,X004,1701 FULTON AVENUE,NY,1012488,245969,-73.897943,40.841758,203,15,16500,2029300075,BX01,Claremont-Bathgate,VINCENT RESTO,Principal,718-583-6655,718-583-6668,9,9,COMMUNITY SCHOOL DISTRICT 09,"RODRIGUEZ-ROSARIO, LETICIA",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 8- Bronx,NULL,NULL,NULL,203,42
2020,07X005,X005,P.S. 5 Port Morris,320700010005,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",1961-07-01T00:00:00.000,Open,X005,564 JACKSON AVENUE,NY,1009617,235815,-73.908358,40.813896,201,8,7300,2026420001,BX34,Melrose South-Mott Haven North,DANIELLE KEANE,Principal,718-292-2683,718-292-2495,7,7,COMMUNITY SCHOOL DISTRICT 07,"ALVAREZ, RAFAEL",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 6- Bronx,NULL,NULL,NULL,201,40
2020,12X006,X006,P.S. 006 West Farms,321200010006,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1904-07-01T00:00:00.000,Open,X006,1000 EAST TREMONT AVENUE,NY,1016753,245496,-73.882531,40.840445,206,17,35900,2030050010,BX17,East Tremont,Tiawana Perez,Principal,718-542-7676,718-589-7278,12,12,COMMUNITY SCHOOL DISTRICT 12,"ROSADO, JACQUELINE",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 5- Bronx,NULL,NULL,NULL,206,48
2020,10X007,X007,Milton Fein School,321000010007,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",1929-07-01T00:00:00.000,Open,X007,3201 KINGSBRIDGE AVENUE,NY,1010327,260469,-73.905697,40.881562,208,11,28700,2057560195,BX29,Spuyten Duyvil-Kingsbridge,MIOSOTIS RAMOS,Principal,718-796-8695,718-796-7204,10,10,COMMUNITY SCHOOL DISTRICT 10,"HULLA, MARIBEL",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 4- Bronx,NULL,NULL,NULL,208,50
