dbn,pct_poverty,pct_ell,pct_swd,pct_black,pct_hispanic,pct_white,pct_asian
08X337,0.8240000000000001,0.176,0.217,0.165,0.767,0.011,0.043
10X032,0.96,0.184,0.234,0.171,0.782,0.021,0.006
11X153,0.722,0.018,0.142,0.575,0.234,0.018,0.142
11X108,0.7829999999999999,0.103,0.155,0.056,0.403,0.368,0.153
10X228,0.866,0.071,0.216,0.172,0.731,0.041,0.052
07X031,0.937,0.154,0.253,0.289,0.656,0.028,0.017
08X107,0.96,0.1,0.263,0.32,0.647,0.024,0.002
10X015,0.7959999999999999,0.226,0.256,0.098,0.865,0.005,0.01
11X106,0.754,0.164,0.205,0.232,0.316,0.027,0.4
11X418,0.8440000000000001,0.081,0.26,0.229,0.615,0.113,0.032
10X020,0.948,0.256,0.242,0.117,0.739,0.049,0.074
11X265,0.8490000000000001,0.139,0.286,0.468,0.464,0.036,0.024
10X396,0.89,0.167,0.366,0.207,0.748,0.012,0.02
11X105,0.9209999999999999,0.285,0.182,0.091,0.616,0.153,0.129
10X306,0.9009999999999999,0.149,0.198,0.274,0.712,0.002,0.008
11X514,0.823,0.078,0.263,0.572,0.35,0.024,0.027
10X023,0.938,0.201,0.288,0.269,0.707,0.011,0.011
11X160,0.762,0.024,0.213,0.646,0.296,0.021,0.012
11X103,0.929,0.137,0.242,0.39,0.522,0.032,0.023
10X237,0.86,0.119,0.228,0.298,0.644,0.024,0.018
07X533,0.6459999999999999,0.0,0.113,0.482,0.503,0.005,0.005
11X290,0.871,0.152,0.229,0.38,0.554,0.019,0.028
10X009,0.9390000000000001,0.306,0.224,0.136,0.823,0.012,0.018
10X397,0.903,0.821,0.015,0.198,0.724,0.022,0.026
11X121,0.691,0.043,0.16,0.44,0.405,0.05,0.097
10X003,0.94,0.155,0.272,0.288,0.699,0.006,0.003
08X119,0.937,0.289,0.122,0.086,0.529,0.045,0.287
08X071,0.726,0.12,0.188,0.052,0.617,0.206,0.11
11X127,0.775,0.188,0.188,0.189,0.406,0.04,0.345
10X226,0.9440000000000001,0.277,0.169,0.192,0.782,0.008,0.008
10X007,0.787,0.168,0.142,0.085,0.74,0.09,0.061
10X433,0.867,0.279,0.251,0.138,0.818,0.01,0.026
11X144,0.7859999999999999,0.103,0.251,0.53,0.367,0.033,0.055
12X458,0.96,0.176,0.196,0.098,0.89,0.008,0.0
11X111,0.93,0.035,0.215,0.584,0.371,0.017,0.021
07X527,0.917,0.124,0.267,0.295,0.679,0.009,0.013
10X008,0.899,0.231,0.205,0.074,0.774,0.058,0.08
11X529,0.847,0.031,0.241,0.569,0.369,0.013,0.013
11X112,0.9470000000000001,0.093,0.228,0.435,0.544,0.011,0.008
12X463,0.94,0.159,0.224,0.355,0.597,0.011,0.017
12X479,0.92,0.205,0.247,0.319,0.624,0.011,0.019
08X048,0.885,0.222,0.232,0.244,0.727,0.012,0.002
10X351,0.853,0.196,0.291,0.23,0.689,0.026,0.04
10X024,0.315,0.05,0.157,0.078,0.443,0.343,0.085
11X097,0.816,0.077,0.228,0.23,0.4,0.128,0.216
10X077,0.852,0.335,0.164,0.068,0.679,0.088,0.146
11X326,0.96,0.206,0.169,0.244,0.608,0.094,0.039
11X175,0.55,0.058,0.202,0.103,0.492,0.318,0.062
11X078,0.858,0.076,0.175,0.659,0.278,0.018,0.03
11X370,0.823,0.144,0.27,0.517,0.406,0.041,0.023
10X046,0.8740000000000001,0.38,0.203,0.109,0.855,0.016,0.013
10X051,0.8809999999999999,0.057,0.136,0.244,0.71,0.011,0.023
10X054,0.9390000000000001,0.173,0.152,0.176,0.763,0.024,0.024
11X076,0.804,0.198,0.206,0.375,0.486,0.063,0.062
08X069,0.8640000000000001,0.189,0.196,0.198,0.719,0.025,0.04
11X508,0.912,0.063,0.241,0.311,0.547,0.092,0.039
08X100,0.863,0.095,0.254,0.259,0.681,0.015,0.02
11X270,0.856,0.044,0.193,0.648,0.279,0.018,0.023
11X068,0.7020000000000001,0.018,0.265,0.729,0.209,0.02,0.011
10X386,0.96,0.265,0.125,0.123,0.853,0.017,0.006
10X056,0.8240000000000001,0.176,0.245,0.076,0.626,0.075,0.202
10X307,0.872,0.484,0.192,0.056,0.848,0.02,0.072
11X178,0.835,0.04,0.22,0.631,0.296,0.024,0.024
11X041,0.934,0.133,0.215,0.462,0.474,0.026,0.021
07X670,0.9359999999999999,0.112,0.275,0.302,0.658,0.003,0.007
10X059,0.96,0.177,0.263,0.347,0.62,0.023,0.0
10X331,0.873,0.2,0.28,0.241,0.723,0.012,0.015
07X548,0.934,0.162,0.298,0.271,0.694,0.019,0.002
10X390,0.932,0.255,0.226,0.153,0.821,0.011,0.004
11X089,0.79,0.191,0.171,0.173,0.555,0.127,0.122
11X513,0.937,0.742,0.072,0.132,0.686,0.091,0.079
12X383,0.93,0.189,0.241,0.224,0.668,0.014,0.07
10X243,0.9309999999999999,0.179,0.252,0.17,0.798,0.008,0.021
11X096,0.8140000000000001,0.105,0.198,0.178,0.642,0.13,0.025
10X391,0.925,0.316,0.254,0.226,0.757,0.003,0.003
12X682,0.879,0.153,0.28,0.246,0.7,0.019,0.022
08X101,0.7170000000000001,0.017,0.243,0.096,0.609,0.15,0.119
11X169,0.835,0.046,0.198,0.695,0.253,0.015,0.021
11X288,0.7879999999999999,0.063,0.205,0.307,0.395,0.15,0.131
11X083,0.722,0.201,0.188,0.047,0.446,0.372,0.113
10X033,0.89,0.272,0.189,0.086,0.885,0.008,0.005
10X244,0.96,0.288,0.185,0.083,0.874,0.023,0.019
10X037,0.871,0.155,0.276,0.177,0.776,0.018,0.016
11X087,0.8690000000000001,0.057,0.171,0.573,0.276,0.023,0.057
12X446,0.877,0.14,0.345,0.322,0.643,0.012,0.012
10X045,0.94,0.188,0.222,0.165,0.79,0.023,0.014
11X509,0.875,0.852,0.043,0.101,0.594,0.157,0.119
10X344,0.581,0.044,0.202,0.129,0.604,0.15,0.056
07X154,0.96,0.132,0.215,0.426,0.547,0.015,0.004
09X594,0.917,0.301,0.301,0.378,0.596,0.021,0.0
07X625,0.889,0.103,0.179,0.342,0.632,0.009,0.0
08X123,0.903,0.277,0.275,0.161,0.782,0.004,0.04
11X556,0.889,0.231,0.206,0.162,0.648,0.118,0.064
09X443,0.925,0.26,0.26,0.272,0.689,0.007,0.027
12X300,0.9470000000000001,0.154,0.275,0.355,0.612,0.015,0.004
08X302,0.946,0.173,0.362,0.176,0.811,0.005,0.0
10X360,0.87,0.202,0.205,0.09,0.899,0.006,0.003
07X495,0.845,0.035,0.199,0.277,0.593,0.021,0.068
07X018,0.96,0.282,0.24,0.268,0.655,0.058,0.003
