dbn,pct_poverty,pct_ell,pct_swd,pct_black,pct_hispanic,pct_white,pct_asian
75M401,0.6879340415810309,0.1539670207905154,0.17238021247430926,0.25,0.45,0.18,0.08
75M501,0.6318108032623171,0.1259054016311585,0.15554324097869512,0.25,0.45,0.18,0.08
75X010,0.6950804801745439,0.15754024008727194,0.1745241440523632,0.25,0.45,0.18,0.08
75X012,0.660330982481798,0.14016549124089894,0.16409929474453938,0.25,0.45,0.18,0.08
75X017,0.8972404697413863,0.25362023487069313,0.21217214092241587,0.32,0.62,0.02,0.02
07X151,0.8619417576476823,0.23597087882384116,0.2015825272943047,0.32,0.62,0.02,0.02
75X168,0.8137150050498794,0.21685750252493968,0.1881145015149638,0.28,0.6,0.05,0.04
75X176,0.5482283289681135,0.10411416448405673,0.15046849869043405,0.42,0.35,0.08,0.1
75X186,0.952301415047691,0.2961507075238455,0.22969042451430727,0.3,0.65,0.02,0.01
75X188,0.8885346239482098,0.24426731197410492,0.20256038718446295,0.35,0.58,0.03,0.02
12X212,0.8833415012763044,0.24667075063815216,0.20800245038289128,0.32,0.62,0.02,0.02
75X352,0.9135204811271742,0.25676024056358704,0.21005614433815226,0.35,0.58,0.03,0.02
75X469,0.8089133486498941,0.21445667432494706,0.18667400459496825,0.28,0.6,0.05,0.04
08X559,0.8459611707916503,0.22798058539582516,0.19678835123749508,0.32,0.62,0.02,0.02
75X596,0.5505457136922376,0.1052728568461188,0.1511637141076713,0.42,0.35,0.08,0.1
75X721,0.6982391081318994,0.1591195540659497,0.17547173243956982,0.25,0.45,0.18,0.08
75X723,0.5872284049777978,0.12361420248889893,0.16216852149333935,0.42,0.35,0.08,0.1
75X754,0.9214832864322438,0.2807416432161219,0.22044498592967313,0.3,0.65,0.02,0.01
75X811,0.8762923006134999,0.25814615030675,0.20688769018404998,0.3,0.65,0.02,0.01
