dbn,school_name,school_type,enrollment,uhf_name,lat,lon,chronic_absenteeism_rate,asthma_ed_rate,svi_overall,svi_socioeconomic,distance_to_nearest_mshp_miles,accessibility_tier,asthma_score,absenteeism_score,enrollment_score,svi_score,isolation_score,enhanced_priority_score,enhanced_priority_rank,enhanced_priority_tier
07X259,"H.E.R.O. High (Health, Education, and Research Occ",Other,750.0,Hunts Point - Mott Haven,40.810671,-73.907528,54.0,192.3,0.9125,0.95,0.5526470461951304,Moderate (0.5-1 mi),94.05594405594405,95.45454545454545,91.6083916083916,94.05594405594405,64.86013986013987,89.58916083916085,1,Tier 1 - Critical (Top 10%)
08X048,P.S. 048 Joseph R. Drake,Elementary,505.0,Hunts Point - Mott Haven,40.814034,-73.886834,51.6831665,192.3,0.9125,0.95,0.6800455596081711,Moderate (0.5-1 mi),94.05594405594405,91.6083916083916,73.07692307692307,94.05594405594405,73.42657342657343,87.32517482517481,2,Tier 1 - Critical (Top 10%)
08X062,P.S. 062 Inocensio Casanova,Elementary,486.0,Hunts Point - Mott Haven,40.813736,-73.900161,41.97530746,192.3,0.9125,0.95,0.6498209773646387,Moderate (0.5-1 mi),94.05594405594405,68.53146853146853,71.32867132867133,94.05594405594405,69.93006993006993,81.92307692307692,3,Tier 1 - Critical (Top 10%)
09X126,P.S. 126 Dr Marjorie H Dunbar,Elementary,582.0,High Bridge - Morrisania,40.835866,-73.9282,52.4054985,178.0,0.8775,0.92,0.6507105802814099,Moderate (0.5-1 mi),78.84615384615384,91.95804195804196,78.67132867132867,78.84615384615384,70.27972027972028,80.15734265734265,4,Tier 1 - Critical (Top 10%)
07X334,International Community High School,High School,414.0,Hunts Point - Mott Haven,40.810314,-73.918774,44.92753601,192.3,0.9125,0.95,0.46597880595649355,Close (0.25-0.5 mi),94.05594405594405,78.67132867132867,58.21678321678322,94.05594405594405,53.4965034965035,79.51923076923076,5,Tier 1 - Critical (Top 10%)
07X500,Hostos-Lincoln Academy of Science,High School,468.0,Hunts Point - Mott Haven,40.814857,-73.912038,52.56410217,192.3,0.9125,0.95,0.22102375078183414,Very Close (<0.25 mi),94.05594405594405,92.83216783216784,69.05594405594405,94.05594405594405,19.755244755244757,78.91608391608392,6,Tier 1 - Critical (Top 10%)
08X333,The Longwood Academy of Discovery,High School,496.0,Hunts Point - Mott Haven,40.820108,-73.898399,49.39516068,192.3,0.9125,0.95,0.20851607493196891,Very Close (<0.25 mi),94.05594405594405,88.81118881118881,72.02797202797203,94.05594405594405,17.132867132867133,78.16433566433565,7,Tier 1 - Critical (Top 10%)
12X134,P.S. 134 George F. Bristow,Elementary,506.0,Hunts Point - Mott Haven,40.831613,-73.894241,42.49011993,192.3,0.9125,0.95,0.3726273584109134,Close (0.25-0.5 mi),94.05594405594405,70.62937062937063,73.42657342657343,94.05594405594405,39.86013986013986,78.14685314685313,8,Tier 1 - Critical (Top 10%)
08X530,Longwood Preparatory Academy,High School,381.0,Hunts Point - Mott Haven,40.817741,-73.897876,52.49343872,192.3,0.9125,0.95,0.35006559462134706,Close (0.25-0.5 mi),94.05594405594405,92.3076923076923,46.32867132867133,94.05594405594405,37.41258741258741,78.0506993006993,9,Tier 1 - Critical (Top 10%)
08X269,Bronx Studio School for Writers and Artists,Other,615.0,Hunts Point - Mott Haven,40.820388,-73.892961,48.94308853,192.3,0.9125,0.95,0.13673501878722502,Very Close (<0.25 mi),94.05594405594405,87.06293706293707,82.16783216783216,94.05594405594405,5.594405594405594,77.6048951048951,10,Tier 1 - Critical (Top 10%)
