dbn,school_name,uhf_name,has_mshp,health_burden_weighted,health_burden_rank,burden_tier,asthma_ed_rate,childhood_obesity_pct,youth_mental_health_ed_rate,lead_elevated_pct,food_insecurity_pct,enrollment
75X811,P.S. X811,Hunts Point - Mott Haven,False,94.59,1,Very High,192.3,34.5,168.4,4.5,38.2,
07X223,The Laboratory School of Finance and Technology: X,Hunts Point - Mott Haven,False,94.59,1,Very High,192.3,34.5,168.4,4.5,38.2,657.0
07X221,South Bronx Preparatory: A College Board School,Hunts Point - Mott Haven,False,94.59,1,Very High,192.3,34.5,168.4,4.5,38.2,630.0
12X217,School of Performing Arts,Hunts Point - Mott Haven,True,94.59,1,Very High,192.3,34.5,168.4,4.5,38.2,156.0
07X557,Mott Haven Community High School,Hunts Point - Mott Haven,False,94.59,1,Very High,192.3,34.5,168.4,4.5,38.2,
07X043,P.S. 043 Jonas Bronck,Hunts Point - Mott Haven,False,94.59,1,Very High,192.3,34.5,168.4,4.5,38.2,394.0
08X048,P.S. 048 Joseph R. Drake,Hunts Point - Mott Haven,False,94.59,1,Very High,192.3,34.5,168.4,4.5,38.2,505.0
07X049,P.S. 049 Willis Avenue,Hunts Point - Mott Haven,False,94.59,1,Very High,192.3,34.5,168.4,4.5,38.2,531.0
75X186,P186X Walter J. Damrosch School,Hunts Point - Mott Haven,False,94.59,1,Very High,192.3,34.5,168.4,4.5,38.2,
07X179,P.S. 179,Hunts Point - Mott Haven,False,94.59,1,Very High,192.3,34.5,168.4,4.5,38.2,230.0
07X161,P.S. 161 Juan Ponce De Leon School,Hunts Point - Mott Haven,False,94.59,1,Very High,192.3,34.5,168.4,4.5,38.2,332.0
08X062,P.S. 062 Inocensio Casanova,Hunts Point - Mott Haven,False,94.59,1,Very High,192.3,34.5,168.4,4.5,38.2,486.0
07X154,P.S. 154 Jonathan D. Hyatt,Hunts Point - Mott Haven,False,94.59,1,Very High,192.3,34.5,168.4,4.5,38.2,240.0
07X065,P.S. 065 Mother Hale Academy,Hunts Point - Mott Haven,False,94.59,1,Very High,192.3,34.5,168.4,4.5,38.2,246.0
08X424,The Hunts Point School,Hunts Point - Mott Haven,False,94.59,1,Very High,192.3,34.5,168.4,4.5,38.2,182.0
