priority_rank,dbn,school_name,school_type,address,uhf_name,asthma_ed_rate,chronic_absenteeism_rate,enrollment,asthma_score,absenteeism_score,enrollment_score,priority_score,priority_tier
1,07X259,"H.E.R.O. High (Health, Education, and Research Occ",Other,455 SOUTHERN BLVD,Hunts Point - Mott Haven,192.3,54.0,750.0,94.1,95.5,91.6,94.1,Tier 1 - Critical
2,08X269,Bronx Studio School for Writers and Artists,Other,928 SIMPSON STREET,Hunts Point - Mott Haven,192.3,48.94308853,615.0,94.1,87.1,82.2,88.9,Tier 1 - Critical
3,08X048,P.S. 048 Joseph R. Drake,Elementary,1290 SPOFFORD AVENUE,Hunts Point - Mott Haven,192.3,51.6831665,505.0,94.1,91.6,73.1,88.9,Tier 1 - Critical
4,07X500,Hostos-Lincoln Academy of Science,High School,600 SAINT ANN'S AVENUE,Hunts Point - Mott Haven,192.3,52.56410217,468.0,94.1,92.8,69.1,88.6,Tier 1 - Critical
5,08X333,The Longwood Academy of Discovery,High School,888 REV J A POLITE AVE,Hunts Point - Mott Haven,192.3,49.39516068,496.0,94.1,88.8,72.0,87.6,Tier 1 - Critical
6,12X150,P.S. 150 Charles James Fox,Elementary,920 EAST 167 STREET,Hunts Point - Mott Haven,192.3,46.58273315,556.0,94.1,82.2,77.8,86.0,Tier 1 - Critical
7,09X126,P.S. 126 Dr Marjorie H Dunbar,Elementary,175 WEST 166 STREET,High Bridge - Morrisania,178.0,52.4054985,582.0,78.8,92.0,78.7,84.1,Tier 1 - Critical
8,07X551,The Urban Assembly Bronx Academy of Letters,High School,339 MORRIS AVENUE,High Bridge - Morrisania,178.0,63.76146698,436.0,78.8,99.0,63.3,83.8,Tier 1 - Critical
9,07X600,Alfred E. Smith Career and Technical Education Hig,Other,333 EAST 151 STREET,High Bridge - Morrisania,178.0,56.45933151,418.0,78.8,96.2,60.0,82.0,Tier 1 - Critical
10,08X530,Longwood Preparatory Academy,High School,965 LONGWOOD AVENUE,Hunts Point - Mott Haven,192.3,52.49343872,381.0,94.1,92.3,35.8,81.7,Tier 1 - Critical
11,07X334,International Community High School,High School,345 BROOK AVENUE,Hunts Point - Mott Haven,192.3,44.92753601,414.0,94.1,78.7,58.2,80.7,Tier 1 - Critical
12,12X134,P.S. 134 George F. Bristow,Elementary,1330 BRISTOW STREET,Hunts Point - Mott Haven,192.3,42.49011993,506.0,94.1,70.6,73.4,80.6,Tier 1 - Critical
13,08X062,P.S. 062 Inocensio Casanova,Elementary,660 FOX STREET,Hunts Point - Mott Haven,192.3,41.97530746,486.0,94.1,68.5,71.3,79.3,Tier 1 - Critical
14,09X132,P.S. 132 Garret A. Morgan,Elementary,1245 WASHINGTON AVENUE,High Bridge - Morrisania,178.0,58.0,400.0,78.8,97.6,43.4,79.2,Tier 1 - Critical
15,12X267,Bronx Latin,Other,800 HOME STREET,High Bridge - Morrisania,178.0,46.80412292,485.0,78.8,82.9,70.8,78.8,Tier 1 - Critical
16,12X248,"Metropolitan High School, The",High School,1180 REV. J.A. POLITE AVE.,Hunts Point - Mott Haven,192.3,61.95121765,205.0,94.1,98.6,5.6,78.2,Tier 1 - Critical
17,09X241,Urban Assembly School for Applied Math and Science,Other,1595 BATHGATE AVENUE,Crotona - Tremont,171.9,57.67097855,541.0,57.7,97.2,76.9,77.3,Tier 1 - Critical
18,08X140,P.S. X140 The Eagle School,Elementary,916 EAGLE AVENUE,High Bridge - Morrisania,178.0,53.84615326,390.0,78.8,95.1,38.8,77.3,Tier 1 - Critical
19,12X214,P.S. 214,Elementary,1970 WEST FARMS ROAD,Crotona - Tremont,171.9,48.22006607,927.0,57.7,85.7,96.9,76.7,Tier 1 - Critical
20,08X075,P.S. 75 School of Research and Discovery,Elementary,984 FAILE STREET,Hunts Point - Mott Haven,192.3,39.12248611,547.0,94.1,57.3,77.3,76.0,Tier 1 - Critical
21,12X682,Fannie Lou Hamer Freedom High School,High School,1021 JENNINGS STREET,Crotona - Tremont,171.9,65.07936859,441.0,57.7,99.3,64.7,75.7,Tier 1 - Critical
22,12X006,P.S. 006 West Farms,Elementary,1000 EAST TREMONT AVENUE,Crotona - Tremont,171.9,53.34685516,493.0,57.7,93.7,71.7,74.9,Tier 1 - Critical
23,10X032,P.S. 032 Belmont,Elementary,690 EAST 183 STREET,Crotona - Tremont,171.9,48.32775879,598.0,57.7,86.4,80.8,73.8,Tier 1 - Critical
24,09X073,P.S. 073 Bronx,Elementary,1020 ANDERSON AVENUE,High Bridge - Morrisania,178.0,53.45911789,318.0,78.8,94.4,21.7,73.6,Tier 1 - Critical
25,09X053,P.S. 053 Basheer Quisim,Elementary,360 EAST 168 STREET,High Bridge - Morrisania,178.0,40.08683014,691.0,78.8,60.8,87.4,73.4,Tier 1 - Critical
26,09X114,P.S. X114 - Luis Llorens Torres Schools,Elementary,1155 CROMWELL AVENUE,High Bridge - Morrisania,178.0,41.11111069,540.0,78.8,64.3,76.4,72.6,Tier 1 - Critical
27,09X109,P.S. 109 Sedgwick,Elementary,1771 POPHAM AVENUE,Crotona - Tremont,171.9,50.32966995,455.0,57.7,89.5,66.8,72.2,Tier 1 - Critical
28,07X427,Community School for Social Justice,Other,350 GERARD AVENUE,High Bridge - Morrisania,178.0,59.80861282,209.0,78.8,98.3,6.5,72.1,Tier 1 - Critical
29,08X130,P.S. 130 Abram Stevens Hewitt,Elementary,750 PROSPECT AVENUE,Hunts Point - Mott Haven,192.3,43.37349319,332.0,94.1,73.4,25.5,72.1,Tier 1 - Critical
30,10X225,Theatre Arts Production Company School,Other,2225 WEBSTER AVENUE,Crotona - Tremont,171.9,51.50115585,433.0,57.7,91.3,62.4,72.1,Tier 1 - Critical
31,12X479,Bronx Career and College Preparatory High School,High School,800 HOME STREET,High Bridge - Morrisania,178.0,69.7530899,162.0,78.8,100.0,2.4,72.0,Tier 1 - Critical
