selection_rank,dbn,school_name,school_type,address,uhf_name,enrollment,chronic_absenteeism_rate,asthma_ed_rate,pct_poverty,expansion_score,selection_method,method
1,07X557,Mott Haven Community High School,High School,455 SOUTHERN BLVD,Hunts Point - Mott Haven,,,192.3,85.3,87.82,greedy,greedy
2,75X754,J. M. Rapport School Career Development,Other,470 JACKSON AVENUE,Hunts Point - Mott Haven,,,192.3,92.1,85.8,greedy,greedy
3,07X259,"H.E.R.O. High (Health, Education, and Research Occ",Other,455 SOUTHERN BLVD,Hunts Point - Mott Haven,750.0,54.0,192.3,88.5,83.58,greedy,greedy
4,08X062,P.S. 062 Inocensio Casanova,Elementary,660 FOX STREET,Hunts Point - Mott Haven,486.0,42.0,192.3,96.0,83.57,greedy,greedy
5,75X811,P.S. X811,Elementary,1434 LONGFELLOW AVENUE,Hunts Point - Mott Haven,,,192.3,87.6,83.34,greedy,greedy
6,07X005,P.S. 5 Port Morris,Elementary,564 JACKSON AVENUE,Hunts Point - Mott Haven,717.0,24.0,192.3,96.0,82.39,greedy,greedy
7,75X186,P186X Walter J. Damrosch School,Other,750 JENNINGS STREET,Hunts Point - Mott Haven,,,192.3,95.2,81.94,greedy,greedy
8,08X048,P.S. 048 Joseph R. Drake,Elementary,1290 SPOFFORD AVENUE,Hunts Point - Mott Haven,505.0,51.7,192.3,88.5,81.16,greedy,greedy
9,07X049,P.S. 049 Willis Avenue,Elementary,383 EAST 139 STREET,Hunts Point - Mott Haven,531.0,34.5,192.3,96.0,80.59,greedy,greedy
10,07X025,P.S. 025 Bilingual School,Elementary,811 EAST 149 STREET,Hunts Point - Mott Haven,434.0,25.1,192.3,96.0,79.86,greedy,greedy
1,07X557,Mott Haven Community High School,High School,455 SOUTHERN BLVD,Hunts Point - Mott Haven,,,192.3,85.3,87.82,coverage_optimized,coverage_optimized
2,08X048,P.S. 048 Joseph R. Drake,Elementary,1290 SPOFFORD AVENUE,Hunts Point - Mott Haven,505.0,51.7,192.3,88.5,81.16,coverage_optimized,coverage_optimized
3,07X043,P.S. 043 Jonas Bronck,Elementary,165 BROWN PLACE,Hunts Point - Mott Haven,394.0,26.9,192.3,96.0,77.88,coverage_optimized,coverage_optimized
4,08X062,P.S. 062 Inocensio Casanova,Elementary,660 FOX STREET,Hunts Point - Mott Haven,486.0,42.0,192.3,96.0,83.57,coverage_optimized,coverage_optimized
5,75X811,P.S. X811,Elementary,1434 LONGFELLOW AVENUE,Hunts Point - Mott Haven,,,192.3,87.6,83.34,coverage_optimized,coverage_optimized
6,09X126,P.S. 126 Dr Marjorie H Dunbar,Elementary,175 WEST 166 STREET,High Bridge - Morrisania,582.0,52.4,178.0,96.0,74.99,coverage_optimized,coverage_optimized
7,12X531,Archer Elementary School,Elementary,1827 ARCHER STREET,Crotona - Tremont,341.0,27.3,171.9,94.9,65.0,coverage_optimized,coverage_optimized
8,75X188,P.S. X188,Elementary,770 GROTE STREET,Crotona - Tremont,,,171.9,88.9,70.89,coverage_optimized,coverage_optimized
9,10X319,Providing Urban Learners Success In Education High,Other,560 EAST 179 STREET,Crotona - Tremont,,,171.9,90.3,71.46,coverage_optimized,coverage_optimized
10,09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,Middle School,1220 GERARD AVENUE,High Bridge - Morrisania,827.0,34.1,178.0,91.6,75.25,coverage_optimized,coverage_optimized
1,07X557,Mott Haven Community High School,High School,455 SOUTHERN BLVD,Hunts Point - Mott Haven,,,192.3,85.3,87.82,equity_constrained,equity_constrained
2,75X754,J. M. Rapport School Career Development,Other,470 JACKSON AVENUE,Hunts Point - Mott Haven,,,192.3,92.1,85.8,equity_constrained,equity_constrained
3,07X259,"H.E.R.O. High (Health, Education, and Research Occ",Other,455 SOUTHERN BLVD,Hunts Point - Mott Haven,750.0,54.0,192.3,88.5,83.58,equity_constrained,equity_constrained
4,08X062,P.S. 062 Inocensio Casanova,Elementary,660 FOX STREET,Hunts Point - Mott Haven,486.0,42.0,192.3,96.0,83.57,equity_constrained,equity_constrained
5,07X381,Bronx Haven High School,High School,333 EAST 151 STREET,High Bridge - Morrisania,,,178.0,95.0,76.67,equity_constrained,equity_constrained
6,10X319,Providing Urban Learners Success In Education High,Other,560 EAST 179 STREET,Crotona - Tremont,,,171.9,90.3,71.46,equity_constrained,equity_constrained
7,10X094,P.S. 094 Kings College School,Elementary,3530 KINGS COLLEGE PLACE,Fordham - Bronx Park,813.0,41.0,132.4,90.8,60.91,equity_constrained,equity_constrained
8,12X047,P.S. 047 John Randolph,Elementary,1794 EAST 172 STREET,Pelham - Throgs Neck,868.0,35.0,98.3,96.0,55.39,equity_constrained,equity_constrained
9,11X103,P.S. 103 Hector Fontanez,Elementary,4125 CARPENTER AVENUE,Northeast Bronx,881.0,43.7,104.6,92.9,50.3,equity_constrained,equity_constrained
10,10X368,In-Tech Academy (M.S. / High School 368),High School,2975 TIBBETT AVENUE,Kingsbridge - Riverdale,995.0,24.9,44.8,86.3,43.62,equity_constrained,equity_constrained
