dbn,school_name,has_mshp,propensity_score,ps_quintile,chronic_absenteeism_rate
07X001,P.S. 001 Courtlandt School,False,0.21308406423914064,Q1,37.3601799
10X003,P.S. 3 Raul Julia Micro Society,False,0.22331255923825336,Q2,44.30769348
09X004,P.S./M.S. 004 Crotona Park West,False,0.2302555332668143,Q3,45.81673431
07X005,P.S. 5 Port Morris,False,0.1825449025784798,Q1,23.98884201
12X006,P.S. 006 West Farms,False,0.20780420049558151,Q1,53.34685516
10X007,Milton Fein School,False,0.3635434988961139,Q5,22.25063896
10X008,P.S. 008 Isaac Varian,True,0.24036969469015926,Q4,37.57225418
10X009,P.S. 9 Ryer Avenue Elementary School,False,0.20918546136005475,Q1,38.24091721
09X011,P.S. 011 Highbridge,False,0.2157664717032296,Q2,37.89954376
08X014,P.S. X014 Senator John Calandra,False,0.23799516229324008,Q4,40.05235672
10X015,P.S. X015 Institute for Environmental Learning,False,0.2438552191548025,Q4,32.32323074
11X016,P.S. 016 Wakefield,False,0.24396141166125848,Q4,42.30769348
07X018,P.S. 018 John Peter Zenger,True,0.22215327591359849,Q2,35.714286799999996
11X019,P.S. 019 Judith K. Weiss,False,0.2927128621378318,Q5,17.09401703
10X020,"PS/MS 20 P.O.George J. Werdann, III",False,0.21876229662559715,Q2,43.80069351
11X021,P.S. 021 Philip H. Sheridan,False,0.2435618176509074,Q4,30.6866951
09X022,J.H.S. 022 Jordan L. Mott,False,0.2235556740044699,Q2,41.9141922
10X023,P.S. 023 The New Children's School,False,0.21910766069316157,Q2,41.860466
10X024,P.S. 024 Spuyten Duyvil,False,0.44037207932355454,Q5,12.847682
07X025,P.S. 025 Bilingual School,False,0.2012355034017529,Q1,25.11520767
09X028,P.S. 028 Mount Hope,True,0.19910281563186844,Q1,40.06462097
07X029,P.S./M.S. 029 Melrose School,False,0.19839462119995505,Q1,33.04093552
07X030,P.S. 030 Wilton,False,0.20846103727743925,Q1,38.30334091
07X031,P.S./M.S. 031 The William Lloyd Garrison,True,0.20507647870754497,Q1,29.10569191
10X032,P.S. 032 Belmont,False,0.20053380636113274,Q1,48.32775879
10X033,P.S. 033 Timothy Dwight,False,0.22996697798539104,Q3,49.70553589
